Frase;Dialecto;Lugar;Verbo
taberna hori trafikatzaileen afi¡a da;Mendebaldekoa;Oñati;True
taberna hori trafikatzaileen abi¡a de;Mendebaldekoa;Ondarroa;True
taberna hori trafikatzaileen kabi da;Erdialdekoa;Orexa;True
taberna hori trafikatzaileen abi da;Erdialdekoa;Orio;True
taberna hori trafikatzaileen abi da;Mendebaldekoa;Orozko;True
taberna hori trafikatzaileen abi¡a da;Mendebaldekoa;Otxandio;True
taberna hori trafikatzaileen habia da;Zuberotarra;Pagola;True
taberna hori trafikatzaileen kabi da;Erdialdekoa;Pasaia;True
taberna hori trafikatzaileen habia da;Zuberotarra;Santa Grazi;True
taberna hori trafikatzaileen kafi da;Nafar-Lapurtarra;Sara;True
taberna hori trafikatzaileen ohantze da;Nafar-Lapurtarra;Senpere;True
taberna hori trafikatzaileen habia da;Zuberotarra;Sohüta;True
taberna hori trafikatzaileen abi da;Mendebaldekoa;Sondika;True
taberna hori trafikatzaileen kabi da;Nafarra;Suarbe;True
taberna hori trafikatzaileen kabi da;Nafarra;Sunbilla;True
taberna hori trafikatzaileen kabi da;Erdialdekoa;Tolosa;True
taberna hori trafikatzaileen kafe da;Nafar-Lapurtarra;Uharte Garazi;True
taberna hori trafikatzaileen kafi da;Nafarra;Urdiain;True
taberna hori trafikatzaileen habia da;Zuberotarra;Urdiñarbe;True
taberna hori trafikatzaileen habia da;Zuberotarra;Urdiñarbe;True
taberna hori trafikatzaileen ohantze da;Nafar-Lapurtarra;Urketa;True
taberna hori trafikatzaileen api da;Erdialdekoa;Urretxu;True
taberna hori trafikatzaileen habia da;Zuberotarra;Ürrüstoi;True
taberna hori trafikatzaileen ohantze da;Nafar-Lapurtarra;Uztaritze;True
taberna hori trafikatzaileen kafia da;Nafar-Lapurtarra;Uztaritze;True
taberna hori trafikatzaileen abi¡e da;Mendebaldekoa;Zaratamo;True
taberna hori trafikatzaileen abi da;Mendebaldekoa;Zeanuri;True
taberna hori trafikatzaileen abi da;Mendebaldekoa;Zeberio;True
taberna hori trafikatzaileen api da;Erdialdekoa;Zegama;True
taberna hori trafikatzaileen kafia da;Nafarra;Zilbeti;True
taberna hori trafikatzaileen kafi da;Nafarra;Zilbeti;True
taberna hori trafikatzaileen abi¡a da;Mendebaldekoa;Zornotza;True
taberna hori trafikatzaileen kafi da;Nafarra;Zugarramurdi;True
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Ahetze;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Aia;False
bi eraikin zahar dinamitaz egatu dituzte;Erdialdekoa;Aia;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Aia;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Aia;False
bi eraikin zahar dinamitaz egan joan dituzte;Erdialdekoa;Aia;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Aldude;False
bi eraikin zahar dinamitaz airean ibili dituzte;Nafar-Lapurtarra;Aldude;False
bi eraikin zahar dinamitaz egan ibili dituzte;Nafarra;Alkotz;False
bi eraikin zahar dinamitaz hegalthatü dituzte;Zuberotarra;Altzai;False
bi eraikin zahar dinamitaz hegaletan joan dituzte;Zuberotarra;Altzai;False
bi eraikin zahar dinamitaz hegaletan egon dituzte;Zuberotarra;Altzai;False
bi eraikin zahar dinamitaz hegalthatü dituzte;Zuberotarra;Altzürükü;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Amezketa;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Amezketa;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Andoain;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafarra;Aniz;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafarra;Aniz;False
bi eraikin zahar dinamitaz egax egin dituzte;Mendebaldekoa;Aramaio;False
bi eraikin zahar dinamitaz egaras egin dituzte;Mendebaldekoa;Araotz (Oñati);False
bi eraikin zahar dinamitaz aidean fan dituzte;Nafarra;Arbizu;False
bi eraikin zahar dinamitaz airean ibili dituzte;Nafar-Lapurtarra;Armendaritze;False
bi eraikin zahar dinamitaz aphal ibili dituzte;Nafar-Lapurtarra;Armendaritze;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Arnegi;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Arnegi;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Arrangoitze;False
bi eraikin zahar dinamitaz egara egin dituzte;Mendebaldekoa;Arrasate;False
bi eraikin zahar dinamitaz egax egin dituzte;Mendebaldekoa;Arrasate;False
bi eraikin zahar dinamitaz egan egin dituzte;Mendebaldekoa;Arrazola (Atxondo);False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Arrieta;False
bi eraikin zahar dinamitaz ehaldakatu dituzte;Nafar-Lapurtarra;Arrueta;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Asteasu;False
bi eraikin zahar dinamitaz egatu dituzte;Erdialdekoa;Asteasu;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Ataun;False
bi eraikin zahar dinamitaz egaka joan dituzte;Erdialdekoa;Ataun;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Ataun;False
bi eraikin zahar dinamitaz gora ibili dituzte;Nafar-Lapurtarra;Azkaine;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Azkoitia;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Azkoitia;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Azpeitia;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Azpeitia;False
bi eraikin zahar dinamitaz aphal ibili dituzte;Nafar-Lapurtarra;Baigorri;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Bakio;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Bardoze;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Barkoxe;False
bi eraikin zahar dinamitaz hegalka joan dituzte;Nafar-Lapurtarra;Bastida;False
bi eraikin zahar dinamitaz aphal ibili dituzte;Nafar-Lapurtarra;Bastida;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Beasain;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Behorlegi;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Beizama;False
bi eraikin zahar dinamitaz egaran ibili dituzte;Mendebaldekoa;Bergara;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Bermeo;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Berriz;False
bi eraikin zahar dinamitaz egaran ibili dituzte;Mendebaldekoa;Berriz;False
bi eraikin zahar dinamitaz egaran ibili dituzte;Mendebaldekoa;Berriz;False
bi eraikin zahar dinamitaz erakan joan dituzte;Nafarra;Beruete;False
bi eraikin zahar dinamitaz eakatu dituzte;Nafarra;Beruete;False
bi eraikin zahar dinamitaz erakan joan dituzte;Nafarra;Beruete;False
bi eraikin zahar dinamitaz eakatu dituzte;Nafarra;Beruete;False
bi eraikin zahar dinamitaz hegalka joan dituzte;Nafar-Lapurtarra;Beskoitze;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafar-Lapurtarra;Bidarrai;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Busturia;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Deba;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Deba;False
bi eraikin zahar dinamitaz egan joan dituzte;Mendebaldekoa;Deba;False
bi eraikin zahar dinamitaz egax egin dituzte;Mendebaldekoa;Dima;False
bi eraikin zahar dinamitaz hegaldatü dituzte;Zuberotarra;Domintxaine;False
bi eraikin zahar dinamitaz egatu dituzte;Nafarra;Donamaria;False
bi eraikin zahar dinamitaz egaka joan dituzte;Nafarra;Donamaria;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Donibane Lohizune;False
bi eraikin zahar dinamitaz egalkan ibili dituzte;Nafarra;Dorrao / Torrano;False
bi eraikin zahar dinamitaz bolatu dituzte;Nafarra;Dorrao / Torrano;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Elantxobe;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Elduain;False
bi eraikin zahar dinamitaz egoan egin dituzte;Erdialdekoa;Elduain;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Elgoibar;False
bi eraikin zahar dinamitaz egan egin dituzte;Mendebaldekoa;Elgoibar;False
bi eraikin zahar dinamitaz egeratu dituzte;Mendebaldekoa;Elorrio;False
bi eraikin zahar dinamitaz egeretan joan dituzte;Mendebaldekoa;Elorrio;False
bi eraikin zahar dinamitaz egara egin dituzte;Mendebaldekoa;Elorrio;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Errezil;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Errezil;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Errezil;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Errezil;False
bi eraikin zahar dinamitaz egas joan dituzte;Mendebaldekoa;Errigoiti;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Errigoiti;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Eskiula;False
bi eraikin zahar dinamitaz egaka joan dituzte;Nafarra;Etxalar;False
bi eraikin zahar dinamitaz egalkan ibili dituzte;Nafarra;Etxaleku;False
bi eraikin zahar dinamitaz eakan egin dituzte;Nafarra;Etxarri (Larraun);False
bi eraikin zahar dinamitaz eakan egin dituzte;Nafarra;Etxarri (Larraun);False
bi eraikin zahar dinamitaz bolan ibili dituzte;Nafarra;Eugi;False
bi eraikin zahar dinamitaz egaka joan dituzte;Erdialdekoa;Ezkio-Itsaso;False
bi eraikin zahar dinamitaz egan joan dituzte;Erdialdekoa;Ezkio-Itsaso;False
bi eraikin zahar dinamitaz egan joan dituzte;Erdialdekoa;Ezkio-Itsaso;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Ezkio-Itsaso;False
bi eraikin zahar dinamitaz egatu dituzte;Nafarra;Ezkurra;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Ezterenzubi;False
bi eraikin zahar dinamitaz egan ibili dituzte;Nafarra;Gaintza;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Gamarte;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Gamiz-Fika;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Garrüze;False
bi eraikin zahar dinamitaz egetan ibili dituzte;Erdialdekoa;Getaria;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Getaria;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Getxo;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Getxo;False
bi eraikin zahar dinamitaz bolau egin dituzte;Mendebaldekoa;Gizaburuaga;False
bi eraikin zahar dinamitaz egan joan dituzte;Mendebaldekoa;Gizaburuaga;False
bi eraikin zahar dinamitaz egan ibili dituzte;Nafarra;Goizueta;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafarra;Goizueta;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafarra;Goizueta;False
bi eraikin zahar dinamitaz egan eldu dituzte;Nafarra;Goizueta;False
bi eraikin zahar dinamitaz aidatu dituzte;Nafar-Lapurtarra;Hazparne;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Hazparne;False
bi eraikin zahar dinamitaz egalez dituzte;Nafar-Lapurtarra;Hendaia;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Hondarribia;False
bi eraikin zahar dinamitaz aidean joan dituzte;Erdialdekoa;Hondarribia;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Ibarruri (Muxika);False
bi eraikin zahar dinamitaz airean ibili dituzte;Nafarra;Igoa;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafarra;Igoa;False
bi eraikin zahar dinamitaz egatu dituzte;Erdialdekoa;Ikaztegieta;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Ikaztegieta;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Irisarri;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafar-Lapurtarra;Itsasu;False
bi eraikin zahar dinamitaz aidean joan dituzte;Nafar-Lapurtarra;Itsasu;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Itsasu;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Izturitze;False
bi eraikin zahar dinamitaz bolan ibili dituzte;Nafarra;Jaurrieta;False
bi eraikin zahar dinamitaz bolatu dituzte;Nafarra;Jaurrieta;False
bi eraikin zahar dinamitaz hegaldaka joan dituzte;Nafar-Lapurtarra;Jutsi;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Kortezubi;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Landibarre;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Landibarre;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Larrabetzu;False
bi eraikin zahar dinamitaz hegaletan ibili dituzte;Zuberotarra;Larraine;False
bi eraikin zahar dinamitaz aidatu dituzte;Zuberotarra;Larraine;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafar-Lapurtarra;Larzabale;False
bi eraikin zahar dinamitaz gora ibili dituzte;Nafar-Lapurtarra;Larzabale;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Laukiz;False
bi eraikin zahar dinamitaz egara egin dituzte;Erdialdekoa;Legazpi;False
bi eraikin zahar dinamitaz ega egin dituzte;Mendebaldekoa;Leintz Gatzaga;False
bi eraikin zahar dinamitaz egan ibili dituzte;Nafarra;Leitza;False
bi eraikin zahar dinamitaz airatu dituzte;Nafarra;Lekaroz;False
bi eraikin zahar dinamitaz airean gan dituzte;Nafarra;Lekaroz;False
bi eraikin zahar dinamitaz bolau egin dituzte;Mendebaldekoa;Lekeitio;False
bi eraikin zahar dinamitaz egax egin dituzte;Mendebaldekoa;Lemoa;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Lemoiz;False
bi eraikin zahar dinamitaz egan ibili dituzte;Nafarra;Luzaide / Valcarlos;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafarra;Luzaide / Valcarlos;False
bi eraikin zahar dinamitaz airean joan dituzte;Nafar-Lapurtarra;Makea;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Mañaria;False
bi eraikin zahar dinamitaz egetan ibili dituzte;Mendebaldekoa;Mendaro;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Mendaro;False
bi eraikin zahar dinamitaz egetan ibili dituzte;Mendebaldekoa;Mendaro;False
bi eraikin zahar dinamitaz egan egin dituzte;Mendebaldekoa;Mendata;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Montori;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Mugerre;False
bi eraikin zahar dinamitaz hegalkatu dituzte;Nafar-Lapurtarra;Mugerre;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Mungia;False
bi eraikin zahar dinamitaz egalkan ibili dituzte;Nafarra;Oderitz;False
bi eraikin zahar dinamitaz egalkan ibili dituzte;Nafarra;Oderitz;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Oiartzun;False
bi eraikin zahar dinamitaz eran dituzte;Erdialdekoa;Oiartzun;False
bi eraikin zahar dinamitaz egara egin dituzte;Mendebaldekoa;Oñati;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Oñati;False
bi eraikin zahar dinamitaz egan ibili dituzte;Mendebaldekoa;Ondarroa;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Orexa;False
bi eraikin zahar dinamitaz egetan ibili dituzte;Erdialdekoa;Orio;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Orozko;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Otxandio;False
bi eraikin zahar dinamitaz hegaltaka dituzte;Zuberotarra;Pagola;False
bi eraikin zahar dinamitaz egalthatu dituzte;Zuberotarra;Pagola;False
bi eraikin zahar dinamitaz egan egin dituzte;Erdialdekoa;Pasaia;False
bi eraikin zahar dinamitaz ega egin dituzte;Erdialdekoa;Pasaia;False
bi eraikin zahar dinamitaz hegalthatü dituzte;Zuberotarra;Santa Grazi;False
bi eraikin zahar dinamitaz airean ibili dituzte;Nafar-Lapurtarra;Sara;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Sara;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Senpere;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Senpere;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Sohüta;False
bi eraikin zahar dinamitaz egasterea egin dituzte;Mendebaldekoa;Sondika;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Sondika;False
bi eraikin zahar dinamitaz egatu dituzte;Nafarra;Suarbe;False
bi eraikin zahar dinamitaz egaka joan dituzte;Nafarra;Sunbilla;False
bi eraikin zahar dinamitaz egatu dituzte;Nafarra;Sunbilla;False
bi eraikin zahar dinamitaz egoan egin dituzte;Erdialdekoa;Tolosa;False
bi eraikin zahar dinamitaz hegaldatu dituzte;Nafar-Lapurtarra;Uharte Garazi;False
bi eraikin zahar dinamitaz egaldatu dituzte;Nafar-Lapurtarra;Uharte Garazi;False
bi eraikin zahar dinamitaz bolatu dituzte;Nafarra;Urdiain;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Urdiñarbe;False
bi eraikin zahar dinamitaz airatu dituzte;Nafar-Lapurtarra;Urketa;False
bi eraikin zahar dinamitaz egan ibili dituzte;Erdialdekoa;Urretxu;False
bi eraikin zahar dinamitaz egan joan dituzte;Erdialdekoa;Urretxu;False
bi eraikin zahar dinamitaz hegaltatü dituzte;Zuberotarra;Ürrüstoi;False
bi eraikin zahar dinamitaz airean ibili dituzte;Nafar-Lapurtarra;Uztaritze;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Zaratamo;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Zeanuri;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Zeberio;False
bi eraikin zahar dinamitaz egaka joan dituzte;Erdialdekoa;Zegama;False
bi eraikin zahar dinamitaz egaka joan dituzte;Erdialdekoa;Zegama;False
bi eraikin zahar dinamitaz egaka joan dituzte;Erdialdekoa;Zegama;False
bi eraikin zahar dinamitaz bolan joan dituzte;Nafarra;Zilbeti;False
bi eraikin zahar dinamitaz bolan ibili dituzte;Nafarra;Zilbeti;False
bi eraikin zahar dinamitaz egas egin dituzte;Mendebaldekoa;Zornotza;False
bi eraikin zahar dinamitaz airatu dituzte;Nafarra;Zugarramurdi;False
putre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Erdialdekoa;Aia;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Aldude;True
arrano hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafarra;Alkotz;True
arrano hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Altzai;True
builtre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Altzai;True
büiltre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Altzürükü;True
bultre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Altzürükü;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Amezketa;True
putre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Erdialdekoa;Andoain;True
arrano hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafarra;Aniz;True
sai hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Aramaio;True
buitre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Mendebaldekoa;Araotz (Oñati);True
arrano hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Nafarra;Arbizu;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Armendaritze;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Armendaritze;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Arnegi;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Arrangoitze;True
sai hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Arrasate;True
sai hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Arrazola (Atxondo);True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Arrueta;True
putre hutsak tia eta amonaren etxea eskuratzeko liskarrean ari tia;Erdialdekoa;Asteasu;True
putre hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Erdialdekoa;Ataun;True
arrano hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafar-Lapurtarra;Azkaine;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Azkoitia;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Azkoitia;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Azpeitia;True
sai hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Baigorri;True
atxanarru hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Mendebaldekoa;Bakio;True
arrano hutsak bitie eta amonaren etxea eskuratzeko liskarrean ari bitie;Nafar-Lapurtarra;Bardoze;True
büiltre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Barkoxe;True
bultre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Barkoxe;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Beasain;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Behorlegi;True
sai hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Behorlegi;True
sai hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Behorlegi;True
putre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Erdialdekoa;Beizama;True
buitre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Mendebaldekoa;Bergara;True
buitre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Bermeo;True
sai hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Mendebaldekoa;Berriz;True
putre hutsak te eta amonaren etxea eskuratzeko liskarrean ari te;Nafarra;Beruete;True
buzoka hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Nafar-Lapurtarra;Beskoitze;True
sai hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Bidarrai;True
atxanarru hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Mendebaldekoa;Busturia;True
buitre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Mendebaldekoa;Deba;True
sei hutsak tires eta amonaren etxea eskuratzeko liskarrean ari tires;Mendebaldekoa;Dima;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Zuberotarra;Domintxaine;True
arrano hutsak tire eta amonaren etxea eskuratzeko liskarrean ari tire;Nafarra;Donamaria;True
arrano hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Nafar-Lapurtarra;Donibane Lohizune;True
frute hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Nafarra;Dorrao / Torrano;True
buitre hutsak dis eta amonaren etxea eskuratzeko liskarrean ari dis;Mendebaldekoa;Elantxobe;True
putre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Elduain;True
putre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Mendebaldekoa;Elgoibar;True
sai hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Elorrio;True
putre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Erdialdekoa;Errezil;True
butre hutsak dires eta amonaren etxea eskuratzeko liskarrean ari dires;Mendebaldekoa;Errigoiti;True
bultre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Eskiula;True
builtre hutsak dia eta amonaren etxea eskuratzeko liskarrean ari dia;Zuberotarra;Eskiula;True
arrano hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafarra;Etxalar;True
arrano hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafarra;Etxaleku;True
putre hutsak te eta amonaren etxea eskuratzeko liskarrean ari te;Nafarra;Etxarri (Larraun);True
arrano hutsak tire eta amonaren etxea eskuratzeko liskarrean ari tire;Nafarra;Eugi;True
buitre hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Erdialdekoa;Ezkio-Itsaso;True
putre hutsak di eta amonaren etxea eskuratzeko liskarrean ari di;Nafarra;Ezkurra;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Ezterenzubi;True
putre hutsak de eta amonaren etxea eskuratzeko liskarrean ari de;Nafarra;Gaintza;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Gamarte;True
buitre hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Mendebaldekoa;Gamiz-Fika;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Garrüze;True
buitre hutsak tia eta amonaren etxea eskuratzeko liskarrean ari tia;Erdialdekoa;Getaria;True
putre hutsak tia eta amonaren etxea eskuratzeko liskarrean ari tia;Erdialdekoa;Getaria;True
sai hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Mendebaldekoa;Gizaburuaga;True
putre hutsak tia eta amonaren etxea eskuratzeko liskarrean ari tia;Nafarra;Goizueta;True
arrano hutsak dira eta amonaren etxea eskuratzeko liskarrean ari dira;Nafar-Lapurtarra;Hazparne;True
futre hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Nafar-Lapurtarra;Hendaia;True
futre hutsak dire eta amonaren etxea eskuratzeko liskarrean ari dire;Erdialdekoa;Hondarribia;True
sai hutsak die eta amonaren etxea eskuratzeko liskarrean ari die;Mendebaldekoa;Ibarruri (Muxika);True
putre hutsak de eta amonaren etxea eskuratzeko liskarrean ari de;Nafarra;Igoa;True
